date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:35	291/291	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Oct%202018%2014:07:34%20GMT	http://91tt.cn/robots.txt		(from )
22:07:36	35393/35393	---M--	200	added ('OK')	text/html	etag:%228a41-5761002d8eb86%22	http://91tt.cn/	C:/My%20Websites/http___91tt.cn_/91tt.cn/index.html	(from )
22:07:36	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-574bc59bd0210%22	http://91tt.cn/img/favicon.ico	C:/My%20Websites/http___91tt.cn_/91tt.cn/img/favicon.ico	(from http://91tt.cn/)
22:07:36	1738/1738	---M--	200	added ('OK')	image/png	etag:%226ca-572025c80cfc0%22	http://91tt.cn/img/apple-touch-icon.png	C:/My%20Websites/http___91tt.cn_/91tt.cn/img/apple-touch-icon.png	(from http://91tt.cn/)
22:07:36	121200/121200	---M--	200	added ('OK')	text/css	etag:%221d970-572025c80cfc0%22	http://91tt.cn/lib/bootstrap/css/bootstrap.min.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/bootstrap/css/bootstrap.min.css	(from http://91tt.cn/)
22:07:36	8152/8152	---M--	200	added ('OK')	text/css	etag:%221fd8-572025c80cfc0%22	http://91tt.cn/lib/nivo-slider/css/nivo-slider.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/nivo-slider/css/nivo-slider.css	(from http://91tt.cn/)
22:07:37	4614/4614	---M--	200	added ('OK')	text/css	etag:%221206-572025c80cfc0%22	http://91tt.cn/lib/owlcarousel/owl.carousel.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/owlcarousel/owl.carousel.css	(from http://91tt.cn/)
22:07:37	4476/4476	---M--	200	added ('OK')	text/css	etag:%22117c-572025c80cfc0%22	http://91tt.cn/lib/owlcarousel/owl.transitions.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/owlcarousel/owl.transitions.css	(from http://91tt.cn/)
22:07:37	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-572025c80cfc0%22	http://91tt.cn/lib/font-awesome/css/font-awesome.min.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/font-awesome/css/font-awesome.min.css	(from http://91tt.cn/)
22:07:37	16953/16953	---M--	200	added ('OK')	text/css	etag:%224239-572025c80cfc0%22	http://91tt.cn/lib/animate/animate.min.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/animate/animate.min.css	(from http://91tt.cn/)
22:07:37	19897/19897	---M--	200	added ('OK')	text/css	etag:%224db9-5751e82a6ebe8%22	http://91tt.cn/lib/venobox/venobox.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/lib/venobox/venobox.css	(from http://91tt.cn/)
22:07:38	7255/7255	---M--	200	added ('OK')	text/css	etag:%221c57-572025c80cfc0%22	http://91tt.cn/css/nivo-slider-theme.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/css/nivo-slider-theme.css	(from http://91tt.cn/)
22:07:38	5399/5399	---M--	200	added ('OK')	text/css	etag:%221517-572025c80cfc0%22	http://91tt.cn/css/responsive.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/css/responsive.css	(from http://91tt.cn/)
22:07:38	31963/31963	---M--	200	added ('OK')	text/css	etag:%227cdb-5751eccf18988%22	http://91tt.cn/css/style.css	C:/My%20Websites/http___91tt.cn_/91tt.cn/css/style.css	(from http://91tt.cn/)
22:07:38	35393/35393	---M--	200	added ('OK')	text/html	etag:%228a41-5761002d8eb86%22	http://91tt.cn/index.html	C:/My%20Websites/http___91tt.cn_/91tt.cn/index-2.html	(from http://91tt.cn/)
22:07:40	355216/355216	---M--	200	added ('OK')	image/jpeg	etag:%22FjJANSnM4MuxXKG-hWNQp-htrgDy%22	http://img.91tt.cn/img/slider/11.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/slider/11.jpg_;%20filename_=utf-8'%20'11.jpg	(from http://91tt.cn/)
22:07:41	48382/48382	---M--	200	added ('OK')	image/jpeg	etag:%22FshEiZJXk7SR9_YRPYMiawavh-6u%22	http://img.91tt.cn/img/about/3.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/about/3.jpg_;%20filename_=utf-8'%20'3.jpg	(from http://91tt.cn/)
22:07:41	105580/105580	---M--	200	added ('OK')	image/jpeg	etag:%22FgrjqCDwDU-8vv3tUsUdyaGzCLcH%22	http://img.91tt.cn/img/about/2.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/about/2.jpg_;%20filename_=utf-8'%20'2.jpg	(from http://91tt.cn/)
22:07:42	82379/82379	---M--	200	added ('OK')	image/jpeg	etag:%22FhghRxvg43RjpkfyQk2e55cLVgP3%22	http://img.91tt.cn/img/portfolio/13.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/13.jpg_;%20filename_=utf-8'%20'13.jpg	(from http://91tt.cn/)
22:07:43	88302/88302	---M--	200	added ('OK')	image/jpeg	etag:%22FrUMSDN3I-9R_2kL2ZJI8-vs0LtN%22	http://img.91tt.cn/img/portfolio/02.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/02.jpg_;%20filename_=utf-8'%20'02.jpg	(from http://91tt.cn/)
22:07:43	98936/98936	---M--	200	added ('OK')	image/jpeg	etag:%22Fm3EpXHLCIhEJXt-3Dy_A3zYgXGV%22	http://img.91tt.cn/img/portfolio/03.jpg	C:/My%20Websites/http___91tt.cn_/img.91tt.cn/img/portfolio/03.jpg_;%20filename_=utf-8'%20'03.jpg	(from http://91tt.cn/)
