date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:54	1194/1194	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Oct%202018%2002:02:53%20GMT	http://mecare.cn/robots.txt		(from )
10:02:54	17343/17343	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:53%20GMT	http://mecare.cn/	C:/My%20Websites/http___mecare.cn_/mecare.cn/index.html	(from )
10:02:54	2122/2122	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2007:43:28%20GMT	http://mecare.cn/public/styles/reset.css	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/styles/reset.css	(from http://mecare.cn/)
10:02:54	48228/48228	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2009:39:06%20GMT	http://mecare.cn/public/styles/index-min.css?version=20141208	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/styles/index-min81cd.css	(from http://mecare.cn/)
10:02:55	1729/1729	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202016%2005:26:03%20GMT	http://mecare.cn/public/styles/slick.css	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/styles/slick.css	(from http://mecare.cn/)
10:02:55	3145/3145	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202016%2005:26:03%20GMT	http://mecare.cn/public/styles/slick-theme.css	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/styles/slick-theme.css	(from http://mecare.cn/)
10:02:55	15284/15284	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202016%2005:26:03%20GMT	http://mecare.cn/public/styles/swiper.min.css	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/styles/swiper.min.css	(from http://mecare.cn/)
10:02:55	34256/34256	---MCZ	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202017%2003:01:11%20GMT	http://mecare.cn/public/styles/moikit.2.0.css	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/styles/moikit.2.0.css	(from http://mecare.cn/)
10:02:56	96381/96381	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2015%20Dec%202016%2005:26:13%20GMT	http://mecare.cn/public/scripts/jquery-1.11.0.min.js	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/scripts/jquery-1.11.0.min.js	(from http://mecare.cn/)
10:02:56	56502/56502	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2015%20Dec%202016%2005:26:18%20GMT	http://mecare.cn/public/scripts/swiper.min.js	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/scripts/swiper.min.js	(from http://mecare.cn/)
10:02:56	26594/26594	---M-Z	200	added ('OK')	application/javascript	etag:04ae7ea6502c2511a6beac263fdc8f8f	http://hm.baidu.com/hm.js?2b51f9270a3f6293f0ae98380af9d922	C:/My%20Websites/http___mecare.cn_/hm.baidu.com/hm4ac5.js	(from http://mecare.cn/)
10:02:56	39662/39662	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:56%20GMT	http://mecare.cn/pro/cuptime2	C:/My%20Websites/http___mecare.cn_/mecare.cn/pro/cuptime2.html	(from http://mecare.cn/)
10:02:57	17523/17523	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:56%20GMT	http://mecare.cn/pro/gene	C:/My%20Websites/http___mecare.cn_/mecare.cn/pro/gene.html	(from http://mecare.cn/)
10:02:57	35683/35683	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:56%20GMT	http://mecare.cn/pro/tita	C:/My%20Websites/http___mecare.cn_/mecare.cn/pro/tita.html	(from http://mecare.cn/)
10:02:57	11321/11321	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:57%20GMT	http://mecare.cn/app/moikit	C:/My%20Websites/http___mecare.cn_/mecare.cn/app/moikit.html	(from http://mecare.cn/)
10:02:57	13808/13808	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:57%20GMT	http://mecare.cn/shop	C:/My%20Websites/http___mecare.cn_/mecare.cn/shop.html	(from http://mecare.cn/)
10:02:57	1048/1048	---M--	200	added ('OK')	image/png	etag:%2258512c4e-418%22	http://mecare.cn/public/images/gene/phone-nav-icon.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/phone-nav-icon.png	(from http://mecare.cn/)
10:02:58	64838/64838	---M--	200	added ('OK')	image/jpeg	etag:%2258512c63-fd46%22	http://mecare.cn/public/images/gene/pro-cuptime.jpg	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-cuptime.jpg	(from http://mecare.cn/)
10:02:58	3934/3934	---M--	200	added ('OK')	image/png	etag:%2258512c4f-f5e%22	http://mecare.cn/public/images/gene/pro-cuptime-logo.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-cuptime-logo.png	(from http://mecare.cn/)
10:02:58	21136/21136	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:57%20GMT	http://mecare.cn/pro/seed/	C:/My%20Websites/http___mecare.cn_/mecare.cn/pro/seed/index.html	(from http://mecare.cn/)
10:02:58	22090/22090	---M--	200	added ('OK')	image/png	etag:%2258512c63-564a%22	http://mecare.cn/public/images/gene/pro-hover.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-hover.png	(from http://mecare.cn/)
10:02:58	62577/62577	---M--	200	added ('OK')	image/jpeg	etag:%2258512c63-f471%22	http://mecare.cn/public/images/gene/pro-gene.jpg	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-gene.jpg	(from http://mecare.cn/)
10:02:58	5501/5501	---M--	200	added ('OK')	image/png	etag:%2258512c63-157d%22	http://mecare.cn/public/images/gene/pro-gene-logo.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-gene-logo.png	(from http://mecare.cn/)
10:02:59	21130/21130	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Oct%202018%2002:02:58%20GMT	http://mecare.cn/pro/seed	C:/My%20Websites/http___mecare.cn_/mecare.cn/pro/seed.html	(from http://mecare.cn/)
10:02:59	48180/48180	---M--	200	added ('OK')	image/jpeg	etag:%225a28ee7d-bc34%22	http://mecare.cn/public/images/s1600/pro-s1600.jpg	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/s1600/pro-s1600.jpg	(from http://mecare.cn/)
10:02:59	3686/3686	---M--	200	added ('OK')	image/png	etag:%225a28ee7e-e66%22	http://mecare.cn/public/images/s1600/s1600-logo.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/s1600/s1600-logo.png	(from http://mecare.cn/)
10:02:59	67584/67584	---M--	200	added ('OK')	image/jpeg	etag:%2258512c64-10800%22	http://mecare.cn/public/images/gene/pro-tita.jpg	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-tita.jpg	(from http://mecare.cn/)
10:03:00	4874/4874	---M--	200	added ('OK')	image/png	etag:%2258512c64-130a%22	http://mecare.cn/public/images/gene/pro-tita-logo.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/pro-tita-logo.png	(from http://mecare.cn/)
10:03:00	10247/10247	---M--	200	added ('OK')	image/png	etag:%22585b9336-2807%22	http://mecare.cn/public/images/gene/prise-text-a.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/prise-text-a.png	(from http://mecare.cn/)
10:03:00	10311/10311	---M--	200	added ('OK')	image/png	etag:%22585b9336-2847%22	http://mecare.cn/public/images/gene/prise-text-b.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/prise-text-b.png	(from http://mecare.cn/)
10:03:00	9268/9268	---M--	200	added ('OK')	image/png	etag:%22585b9336-2434%22	http://mecare.cn/public/images/gene/prise-text-c.png	C:/My%20Websites/http___mecare.cn_/mecare.cn/public/images/gene/prise-text-c.png	(from http://mecare.cn/)
